223 unlabelled training bactches, 94 labelled batches. Will reuse samples to match batch numbers
Epoch 1, train accuracy:0.00%, batch: 1/223
Epoch 2, train accuracy:16.40%, batch: 158/223
Epoch 2, train accuracy:16.39%, batch: 159/223
Epoch 2, train accuracy:16.39%, batch: 160/223
Epoch 2, train accuracy:16.38%, batch: 161/223
Epoch 2, train accuracy:16.38%, batch: 162/223
Epoch 2, train accuracy:16.37%, batch: 163/223
Epoch 2, train accuracy:16.37%, batch: 164/223
Epoch 2, train accuracy:16.36%, batch: 165/223
Epoch 2, train accuracy:16.36%, batch: 166/223
Epoch 2, train accuracy:16.35%, batch: 167/223
Epoch 2, train accuracy:16.35%, batch: 168/223
Epoch 2, train accuracy:16.35%, batch: 169/223
Epoch 2, train accuracy:16.34%, batch: 170/223
Epoch 2, train accuracy:16.34%, batch: 171/223
Epoch 2, train accuracy:16.33%, batch: 172/223
Epoch 2, train accuracy:16.33%, batch: 173/223
Epoch 2, train accuracy:16.33%, batch: 174/223
Epoch 2, train accuracy:16.32%, batch: 175/223
Epoch 2, train accuracy:16.32%, batch: 176/223
Epoch 2, train accuracy:16.31%, batch: 177/223
Epoch 2, train accuracy:16.31%, batch: 178/223
Epoch 2, train accuracy:16.31%, batch: 179/223
Epoch 2, train accuracy:16.30%, batch: 180/223
Epoch 2, train accuracy:16.30%, batch: 181/223
Epoch 2, train accuracy:16.29%, batch: 182/223
Epoch 2, train accuracy:16.31%, batch: 183/223
Epoch 2, train accuracy:16.32%, batch: 184/223
Epoch 2, train accuracy:16.33%, batch: 185/223
Epoch 2, train accuracy:16.35%, batch: 186/223
Epoch 2, train accuracy:16.36%, batch: 187/223
Epoch 2, train accuracy:16.37%, batch: 188/223
Epoch 2, train accuracy:16.39%, batch: 189/223
Epoch 2, train accuracy:16.40%, batch: 190/223
Epoch 2, train accuracy:16.41%, batch: 191/223
Epoch 2, train accuracy:16.42%, batch: 192/223
Epoch 2, train accuracy:16.43%, batch: 193/223
Epoch 2, train accuracy:16.45%, batch: 194/223
Epoch 2, train accuracy:16.46%, batch: 195/223
Epoch 2, train accuracy:16.47%, batch: 196/223
Epoch 2, train accuracy:16.48%, batch: 197/223
Epoch 2, train accuracy:16.49%, batch: 198/223
Epoch 2, train accuracy:16.50%, batch: 199/223
Epoch 2, train accuracy:16.52%, batch: 200/223
Epoch 2, train accuracy:16.53%, batch: 201/223
Epoch 2, train accuracy:16.54%, batch: 202/223
Epoch 2, train accuracy:16.55%, batch: 203/223
Epoch 2, train accuracy:16.56%, batch: 204/223
Epoch 2, train accuracy:16.57%, batch: 205/223
Epoch 2, train accuracy:16.58%, batch: 206/223
Epoch 2, train accuracy:16.59%, batch: 207/223
Epoch 2, train accuracy:16.60%, batch: 208/223
Epoch 2, train accuracy:16.61%, batch: 209/223
Epoch 2, train accuracy:16.62%, batch: 210/223
Epoch 2, train accuracy:16.63%, batch: 211/223
Epoch 2, train accuracy:16.64%, batch: 212/223
Epoch 2, train accuracy:16.65%, batch: 213/223
Epoch 2, train accuracy:16.66%, batch: 214/223
Epoch 2, train accuracy:16.67%, batch: 215/223
Epoch 2, train accuracy:16.68%, batch: 216/223
Epoch 2, train accuracy:16.69%, batch: 217/223
Epoch 2, train accuracy:16.70%, batch: 218/223
Epoch 2, train accuracy:16.71%, batch: 219/223
Epoch 2, train accuracy:16.72%, batch: 220/223
Epoch 2, train accuracy:16.73%, batch: 221/223
Epoch 2, train accuracy:16.74%, batch: 222/223
Epoch 2, train accuracy:16.75%, batch: 223/223
Epoch 2, train accuracy:16.75%, validation accuracy:9.84, batch: 223/223
Epoch 3, train accuracy:18.75%, batch: 1/223
Epoch 3, train accuracy:18.75%, batch: 2/223
Epoch 3, train accuracy:18.75%, batch: 3/223
Epoch 3, train accuracy:18.75%, batch: 4/223
Epoch 3, train accuracy:18.75%, batch: 5/223
Epoch 3, train accuracy:18.23%, batch: 6/223
Epoch 3, train accuracy:17.86%, batch: 7/223
Epoch 3, train accuracy:17.58%, batch: 8/223
Epoch 3, train accuracy:17.36%, batch: 9/223
Epoch 3, train accuracy:17.19%, batch: 10/223
Epoch 3, train accuracy:17.05%, batch: 11/223
Epoch 3, train accuracy:16.93%, batch: 12/223
Epoch 3, train accuracy:16.83%, batch: 13/223
Epoch 3, train accuracy:16.74%, batch: 14/223
Epoch 3, train accuracy:16.67%, batch: 15/223
Epoch 3, train accuracy:16.60%, batch: 16/223
Epoch 3, train accuracy:16.54%, batch: 17/223
Epoch 3, train accuracy:16.49%, batch: 18/223
Epoch 3, train accuracy:16.45%, batch: 19/223
Epoch 3, train accuracy:16.41%, batch: 20/223
Epoch 3, train accuracy:16.37%, batch: 21/223
Epoch 3, train accuracy:16.34%, batch: 22/223
Epoch 3, train accuracy:16.30%, batch: 23/223
Epoch 3, train accuracy:16.28%, batch: 24/223
Epoch 3, train accuracy:16.25%, batch: 25/223
Epoch 3, train accuracy:16.23%, batch: 26/223
Epoch 3, train accuracy:16.20%, batch: 27/223
Epoch 3, train accuracy:16.18%, batch: 28/223
Epoch 3, train accuracy:16.16%, batch: 29/223
Epoch 3, train accuracy:15.94%, batch: 30/223
Epoch 3, train accuracy:15.73%, batch: 31/223
Epoch 3, train accuracy:15.53%, batch: 32/223
Epoch 3, train accuracy:15.34%, batch: 33/223
Epoch 3, train accuracy:15.17%, batch: 34/223
Epoch 3, train accuracy:15.00%, batch: 35/223
Epoch 3, train accuracy:14.84%, batch: 36/223
Epoch 3, train accuracy:14.70%, batch: 37/223
Epoch 3, train accuracy:14.56%, batch: 38/223
Epoch 3, train accuracy:14.74%, batch: 39/223
Epoch 3, train accuracy:14.92%, batch: 40/223
Epoch 3, train accuracy:15.09%, batch: 41/223
Epoch 3, train accuracy:15.25%, batch: 42/223
Epoch 3, train accuracy:15.41%, batch: 43/223
Epoch 3, train accuracy:15.55%, batch: 44/223
Epoch 3, train accuracy:15.69%, batch: 45/223
Epoch 3, train accuracy:15.83%, batch: 46/223
Epoch 3, train accuracy:15.96%, batch: 47/223
Epoch 3, train accuracy:16.08%, batch: 48/223
Epoch 3, train accuracy:16.20%, batch: 49/223
Epoch 3, train accuracy:16.31%, batch: 50/223
Epoch 3, train accuracy:16.42%, batch: 51/223
Epoch 3, train accuracy:16.53%, batch: 52/223
Epoch 3, train accuracy:16.63%, batch: 53/223
Epoch 3, train accuracy:16.72%, batch: 54/223
Epoch 3, train accuracy:16.82%, batch: 55/223
Epoch 3, train accuracy:16.91%, batch: 56/223
Epoch 3, train accuracy:17.00%, batch: 57/223
Epoch 3, train accuracy:17.08%, batch: 58/223
Epoch 3, train accuracy:17.16%, batch: 59/223
Epoch 3, train accuracy:17.24%, batch: 60/223
Epoch 3, train accuracy:17.32%, batch: 61/223
Epoch 3, train accuracy:17.39%, batch: 62/223
Epoch 3, train accuracy:17.46%, batch: 63/223
Epoch 3, train accuracy:17.53%, batch: 64/223
Epoch 3, train accuracy:17.60%, batch: 65/223
Epoch 3, train accuracy:17.66%, batch: 66/223
Epoch 3, train accuracy:17.72%, batch: 67/223
Epoch 3, train accuracy:17.78%, batch: 68/223
Epoch 3, train accuracy:17.84%, batch: 69/223
Epoch 3, train accuracy:17.90%, batch: 70/223
Epoch 3, train accuracy:17.96%, batch: 71/223
Epoch 3, train accuracy:18.01%, batch: 72/223
Epoch 3, train accuracy:18.07%, batch: 73/223
